Hum,Macaca,Mouse,Rat
CFD,CFD,Cfd,Cfd
PLEKHM1,,Plekhm1,Plekhm1
EI24,EI24,Ei24,Ei24
UTS2B,UTS2B,Uts2b,Uts2b
MXRA7,MXRA7,Mxra7,Mxra7
ORAI2,ORAI2,Orai2,Orai2
TARBP2,TARBP2,Tarbp2,Tarbp2
ZNF608,ZNF608,Zfp608,Zfp608
MARVELD2,MARVELD2,Marveld2,Marveld2
UBALD2,UBALD2,Ubald2,Ubald2
GLRX5,GLRX5,Glrx5,Glrx5
AARD,AARD,Aard,Aard
UVRAG,UVRAG,Uvrag,Uvrag
C1QTNF4,C1QTNF4,C1qtnf4,C1qtnf4
CCDC66,CCDC66,Ccdc66,Ccdc66
SOWAHC,SOWAHC,Sowahc,Sowahc
PREP,PREP,Prep,Prep
ELL3,ELL3,Ell3,Ell3
PRLHR,PRLHR,Prlhr,Prlhr
C1orf112,C1orf112,BC055324,LOC498265
ACTL7A,ACTL7A,Actl7a,Actl7a
DAB1,DAB1,Dab1,Dab1
GM2A,GM2A,Gm2a,Gm2a
RRN3,,Rrn3,Rrn3
HAP1,HAP1,Hap1,Hap1
ANO5,ANO5,Ano5,Ano5
TRIM6,TRIM6,Trim6,Trim6
TMED2,TMED2,Tmed2,Tmed2
PRLR,PRLR,Prlr,Prlr
OR51J1,OR51J1,Olfr634-ps1,Olr136
FOS,FOS,Fos,Fos
VWC2L,VWC2L,Vwc2l,Vwc2l
UCHL1,UCHL1,Uchl1,Uchl1
ANAPC7,ANAPC7,Anapc7,Anapc7
ANXA6,ANXA6,Anxa6,Anxa6
ZPR1,ZPR1,Zpr1,Zfp259
USHBP1,USHBP1,Ushbp1,Ushbp1
BCL2L11,BCL2L11,Bcl2l11,Bcl2l11
KRT16,KRT16,Krt16,Krt16
RPIA,RPIA,Rpia,Rpia
IGF2BP1,IGF2BP1,Igf2bp1,Igf2bp1
KRT14,KRT14,Krt14,Krt14
MYCBP2,MYCBP2,Mycbp2,Mycbp2
ZC3H12C,ZC3H12C,Zc3h12c,Zc3h12c
GABRB2,GABRB2,Gabrb2,Gabrb2
CCDC125,,Ccdc125,Ccdc125
DPF1,DPF1,Dpf1,Dpf1
RAB28,RAB28,Rab28,Rab28
NFATC1,NFATC1,Nfatc1,Nfatc1
RPS6KA6,RPS6KA6,Rps6ka6,Rps6ka6
LNP1,LNP1,Lnp1,Lnp1
SYCP1,SYCP1,Sycp1,Sycp1
ZNF426,ZNF426,Zfp426,Zfp426
PTK6,PTK6,Ptk6,Ptk6
FSD1,FSD1,Fsd1,Fsd1
GMPS,GMPS,Gmps,Gmps
NETO1,NETO1,Neto1,Neto1
ZNF365,ZNF365,Zfp365,Zfp365
PKDCC,PKDCC,Pkdcc,Pkdcc
PLEKHG2,PLEKHG2,Plekhg2,Plekhg2
THYN1,THYN1,Thyn1,Thyn1
PLCG2,PLCG2,Plcg2,Plcg2
RCHY1,RCHY1,Rchy1,Rchy1
FANK1,FANK1,Fank1,Fank1
ADGRA1,ADGRA1,Adgra1,Adgra1
CCDC182,CCDC182,Ccdc182,Ccdc182
CCSAP,CCSAP,Ccsap,Ccsap
NLRC4,NLRC4,Nlrc4,Nlrc4
SYTL4,SYTL4,Sytl4,Sytl4
CLDN7,CLDN7,Cldn7,Cldn7
MIPOL1,MIPOL1,Mipol1,Mipol1
GPX2,GPX2,Gpx2,Gpx2
FMR1,FMR1,Fmr1,Fmr1
IQGAP1,IQGAP1,Iqgap1,Iqgap1
MFSD4A,MFSD4A,Mfsd4a,Mfsd4
FAT4,FAT4,Fat4,Fat4
NSL1,NSL1,Nsl1,Nsl1
RETREG1,RETREG1,Retreg1,Fam134b
UBXN2A,UBXN2A,Ubxn2a,Ubxn2a
YWHAB,YWHAB,Ywhab,Ywhab
KIRREL3,KIRREL3,Kirrel3,Kirrel3
DTD1,DTD1,Dtd1,Dtd1
SHD,SHD,Shd,Shd
NCAPD3,NCAPD3,Ncapd3,Ncapd3
SLC30A6,SLC30A6,Slc30a6,Slc30a6
C16orf90,C16orf90,1700037C18Rik,RGD1561796
WIZ,WIZ,Wiz,Wiz
TKTL1,TKTL1,Tktl1,LOC108348261
FKBP8,FKBP8,Fkbp8,Fkbp8
KLHL29,KLHL29,Klhl29,Klhl29
TUBAL3,TUBAL3,Tubal3,Tubal3
SLC46A1,SLC46A1,Slc46a1,Slc46a1
PTER,PTER,Pter,Pter
AREG,AREG,Areg,Areg
ANKH,ANKH,Ank,Ankh
CMIP,CMIP,Cmip,Cmip
IL17RC,IL17RC,Il17rc,Il17rc
TFIP11,TFIP11,Tfip11,Tfip11
ZNF768,ZNF768,Zfp768,Znf768
DYRK1A,DYRK1A,Dyrk1a,Dyrk1a
LINGO3,LINGO3,Lingo3,Lingo3
STXBP5L,STXBP5L,Stxbp5l,Stxbp5l
ACSM3,ACSM3,Acsm3,Acsm3
RNF38,RNF38,Rnf38,Rnf38
NR4A1,NR4A1,Nr4a1,Nr4a1
CRYBG2,,Crybg2,Aim1l
SGMS2,SGMS2,Sgms2,Sgms2
CORO1B,CORO1B,Coro1b,Coro1b
LHX8,LHX8,Lhx8,Lhx8
GLIS1,GLIS1,Glis1,Glis1
NAP1L5,NAP1L5,Nap1l5,Nap1l5
TMEM160,TMEM160,Tmem160,Tmem160
PYURF,PYURF,Pyurf,Pyurf
SPTB,SPTB,Sptb,Sptb
BRWD3,BRWD3,Brwd3,Brwd3
CCL28,CCL28,Ccl28,Ccl28
PON3,PON3,Pon3,Pon3
USP44,USP44,Usp44,Usp44
CAPN3,CAPN3,Capn3,Capn3
MSN,MSN,Msn,Msn
PATE1,PATE1,Pate1,Pate1
MAP3K20,MAP3K20,Map3k20,Map3k20
GUCY2C,GUCY2C,Gucy2c,Gucy2c
TGM5,TGM5,Tgm5,Tgm7l1
LRSAM1,LRSAM1,Lrsam1,Lrsam1
UPK3B,,Upk3b,Upk3b
PLBD1,PLBD1,Plbd1,Plbd1
MYT1,,Myt1,Myt1
NAXE,NAXE,Naxe,Naxe
CRYZ,CRYZ,Cryz,Cryz
DMRTB1,DMRTB1,Dmrtb1,Dmrtb1
MAP6D1,MAP6D1,Map6d1,Map6d1
RPS6KA2,RPS6KA2,Rps6ka2,Rps6ka2
SRD5A2,SRD5A2,Srd5a2,Srd5a2
LMBR1,LMBR1,Lmbr1,Lmbr1
INHBB,INHBB,Inhbb,Inhbb
CNOT11,CNOT11,Cnot11,Cnot11
NEK4,NEK4,Nek4,Nek4
BPNT1,BPNT1,Bpnt1,Bpnt1
CIB1,CIB1,Cib1,Cib1
NUP160,NUP160,Nup160,Nup160
LRFN1,LRFN1,Lrfn1,Lrfn1
TTLL13P,TTLL13P,Ttll13,Ttll13
DHX37,DHX37,Dhx37,Dhx37
MME,MME,Mme,Mme
ING1,ING1,Ing1,Ing1
PON1,PON1,Pon1,Pon1
CENPM,CENPM,Cenpm,Cenpm
STOML3,STOML3,Stoml3,Stoml3
DAP3,DAP3,Dap3,Dap3
ADAD1,ADAD1,Adad1,Adad1
RLF,RLF,Rlf,Rlf
SMARCA2,SMARCA2,Smarca2,Smarca2
BZW2,BZW2,Bzw2,Bzw2
HPF1,HPF1,Hpf1,Hpf1
STAB1,STAB1,Stab1,Stab1
CCHCR1,CCHCR1,Cchcr1,Cchcr1
TNFRSF13C,TNFRSF13C,Tnfrsf13c,Tnfrsf13c
SHISA8,SHISA8,Shisa8,Shisa8
OR13G1,OR13G1,Olfr309,Olr12
PPBP,PPBP,Ppbp,Ppbp
TBC1D23,TBC1D23,Tbc1d23,Tbc1d23
SHH,SHH,Shh,Shh
HPS4,HPS4,Hps4,Hps4
ASPHD2,ASPHD2,Asphd2,Asphd2
TXNIP,TXNIP,Txnip,Txnip
CARS2,CARS2,Cars2,Cars2
AKAP8L,AKAP8L,Akap8l,Akap8l
ZBTB25,ZBTB25,Zbtb25,Zbtb25
GPSM2,GPSM2,Gpsm2,Gpsm2
HSPA2,HSPA2,Hspa2,Hspa2
TMEM30A,TMEM30A,Tmem30a,Tmem30a
WWC1,WWC1,Wwc1,Wwc1
LENEP,LENEP,Lenep,Lenep
NCCRP1,NCCRP1,Nccrp1,Nccrp1
KLHDC8A,KLHDC8A,Klhdc8a,Klhdc8a
NAMPT,NAMPT,Nampt,Nampt
SYCN,SYCN,Sycn,Sycn
ANKMY2,ANKMY2,Ankmy2,Ankmy2
MMP21,MMP21,Mmp21,Mmp21
PPP2R3B,,Ppp2r3d,Ppp2r3b
FAM192A,FAM192A,Fam192a,Fam192a
BCDIN3D,BCDIN3D,Bcdin3d,Bcdin3d
HIP1R,HIP1R,Hip1r,Hip1r
FZD7,FZD7,Fzd7,Fzd7
NCKAP5L,NCKAP5L,Nckap5l,Nckap5l
RPS27,,Rps27rt,Rps27
OR2B11,OR2B11,Olfr222,Olr1462
KIAA2012,KIAA2012,Gm973,RGD1562029
MMD2,MMD2,Mmd2,Mmd2
NCOA5,NCOA5,Ncoa5,Ncoa5
TXNRD3,TXNRD3,Txnrd3,Txnrd3
SUCLA2,,Sucla2,Sucla2
ARRB2,ARRB2,Arrb2,Arrb2
HMGA2,HMGA2,Hmga2,Hmga2
HFE2,HFE2,Hfe2,Hfe2
FAM120A,FAM120A,Fam120a,Fam120a
PPFIBP2,PPFIBP2,Ppfibp2,Ppfibp2
CSTL1,CSTL1,Cstl1,Cstl1
HSP90AB1,Hsp90ab1,Hsp90ab1,Hsp90ab1
AMMECR1L,AMMECR1L,Ammecr1l,Ammecr1l
NCOA3,NCOA3,Ncoa3,Ncoa3
BCLAF1,BCLAF1,Bclaf1,Bclaf1
SMIM24,SMIM24,Smim24,Smim24
TMCC1,TMCC1,Tmcc1,Tmcc1
ZHX1,ZHX1,Zhx1,Zhx1
SNORD127,SNORD127,Gm25970,SNORD127
RNU6-1167P,U6,Gm26369,U6
SNORD61,SNORD61,Snord61,SNORD61
SNORA80E,SNORA42,Gm25945,SNORA42
RNU5A-1,U5,Rnu5g,U5
ATL1,ATL1,Atl1,Atl1
HMGCR,HMGCR,Hmgcr,Hmgcr
TNK2,TNK2,Tnk2,Tnk2
NFASC,NFASC,Nfasc,Nfasc
HSD11B2,HSD11B2,Hsd11b2,Hsd11b2
ME1,ME1,Me1,Me1
ZNF219,ZNF219,Zfp219,Zfp219
TMEM253,TMEM253,Tmem253,Tmem253
TRPM3,TRPM3,Trpm3,Trpm3
PC,PC,Pcx,Pc
SOS2,SOS2,Sos2,Sos2
WNT3,WNT3,Wnt3,Wnt3
PLAC8L1,PLAC8L1,Plac8l1,Plac8l1
NR1H2,NR1H2,Nr1h2,Nr1h2
CKS2,CKS2,Cks2,
LARP1,LARP1,Larp1,Larp1
EXOC3L4,EXOC3L4,Exoc3l4,Exoc3l4
ADAMTS16,ADAMTS16,Adamts16,Adamts16
RPN2,RPN2,Rpn2,Rpn2
TXNDC8,TXNDC8,Txndc8,Txndc8
CAMSAP1,CAMSAP1,Camsap1,Camsap1
LRRC74A,LRRC74A,Lrrc74a,Lrrc74a
NSMCE4A,NSMCE4A,Nsmce4a,Nsmce4a
PRKCG,PRKCG,Prkcg,Prkcg
ENDOD1,ENDOD1,Endod1,Endod1
CRYAB,CRYAB,Cryab,Cryab
CNGA3,CNGA3,Cnga3,Cnga3
STX11,STX11,Stx11,Stx11
BDKRB2,BDKRB1,Bdkrb2,Bdkrb2
MRPL34,,Mrpl34,Mrpl34
TLDC2,TLDC2,Tldc2,Tldc2
MPP3,MPP3,Mpp3,Mpp3
ST6GALNAC1,ST6GALNAC1,St6galnac1,St6galnac1
IL7R,IL7R,Il7r,Il7r
UQCRQ,UQCRQ,Uqcrq,Uqcrq
OSTN,OSTN,Ostn,Ostn
PRCD,PRCD,Prcd,
PSEN1,PSEN1,Psen1,Psen1
SMIM14,SMIM14,Smim14,Smim14
CD37,CD37,Cd37,Cd37
SLC43A3,SLC43A3,Slc43a3,Slc43a3
RAPGEF4,RAPGEF4,Rapgef4,Rapgef4
PNMT,PNMT,Pnmt,Pnmt
SLC8B1,SLC8B1,Slc8b1,Slc8b1
COL22A1,COL22A1,Col22a1,Col22a1
MOK,MOK,Mok,Mok
SPATA33,SPATA33,Spata33,Spata33
ABCA12,ABCA12,Abca12,Abca12
MDH1,MDH1,Mdh1,Mdh1
SH2B2,SH2B2,Sh2b2,Sh2b2
CCNG1,CCNG1,Ccng1,Ccng1
FBXW7,FBXW7,Fbxw7,Fbxw7
CEP120,CEP120,Cep120,Cep120
CACNA1B,,Cacna1b,Cacna1b
MAP3K14,MAP3K14,Map3k14,Map3k14
KIF26B,KIF26B,Kif26b,Kif26b
ZC2HC1B,ZC2HC1B,Zc2hc1b,Zc2hc1b
ITIH2,ITIH2,Itih2,Itih2
CLEC12A,CLEC12A,Clec12a,Clec12a
KHDRBS3,KHDRBS3,Khdrbs3,Khdrbs3
ZNF652,ZNF652,Zfp652,Zfp652
LAMTOR2,LAMTOR2,Lamtor2,Lamtor2
LSS,LSS,Lss,Lss
RGL3,RGL3,Rgl3,Rgl3
FANCL,FANCL,Fancl,Fancl
CCDC168,CCDC168,Gm8251,LOC102548013
GIT2,GIT2,Git2,Git2
FBXO18,,Fbxo18,Fbxo18
CHD1,CHD1,Chd1,Chd1
TSFM,TSFM,Tsfm,Tsfm
LSG1,LSG1,Lsg1,Lsg1
IL9,IL9,Il9,Il9
RELL1,RELL1,Rell1,Rell1
DNAJA3,DNAJA3,Dnaja3,Dnaja3
MEN1,MEN1,Men1,Men1
TRAT1,TRAT1,Trat1,Trat1
SEPHS1,SEPHS1,Sephs1,Sephs1
CC2D1B,CC2D1B,Cc2d1b,Cc2d1b
CXCL17,,Cxcl17,Cxcl17
SPATA6L,SPATA6L,4430402I18Rik,Spata6l
ATG16L2,ATG16L2,Atg16l2,Atg16l2
BAIAP2L2,BAIAP2L2,Baiap2l2,Baiap2l2
SLC12A1,SLC12A1,Slc12a1,Slc12a1
C17orf107,C17orf107,4930544D05Rik,LOC687707
CTXN2,CTXN2,Ctxn2,Ctxn2
ARHGAP12,ARHGAP12,Arhgap12,Arhgap12
THEM6,THEM6,Them6,Them6
OSGIN1,OSGIN1,Osgin1,Osgin1
SNED1,SNED1,Sned1,Sned1
UTP18,UTP18,Utp18,Utp18
BNIP1,BNIP1,Bnip1,Bnip1
SYTL3,SYTL3,Sytl3,Sytl3
SPIRE2,SPIRE2,Spire2,Spire2
FGF14,FGF14,Fgf14,Fgf14
CLPTM1,CLPTM1,Clptm1,Clptm1
EMD,,Emd,Emd
ZPBP2,ZPBP2,Zpbp2,Zpbp2
SCGB3A2,SCGB3A2,Scgb3a2,Scgb3a2
MGST1,MGST1,Mgst1,Mgst1
FLRT1,FLRT1,Flrt1,Flrt1
BMT2,BMT2,Bmt2,Bmt2
FURIN,FURIN,Furin,Furin
RNF112,RNF112,Rnf112,Rnf112
NDC80,NDC80,Ndc80,Ndc80
ATP6V0B,ATP6V0B,Atp6v0b,Atp6v0b
CSE1L,CSE1L,Cse1l,Cse1l
FAM193B,FAM193B,Fam193b,Fam193b
TRIP6,TRIP6,Trip6,Trip6
PRR27,PRR27,Prr27,Prr27
BARX2,BARX2,Barx2,Barx2
MEP1A,MEP1A,Mep1a,Mep1a
SH3PXD2B,SH3PXD2B,Sh3pxd2b,Sh3pxd2b
SNCA,SNCA,Snca,Snca
AWAT1,AWAT1,Awat1,Awat1
PAMR1,PAMR1,Pamr1,Pamr1
PTPRA,PTPRA,Ptpra,Ptpra
LRRC34,LRRC34,Lrrc34,Lrrc34
KRT84,KRT84,Krt84,Krt84
CARF,CARF,Carf,Carf
RIMS2,RIMS2,Rims2,Rims2
SLC34A1,SLC34A1,Slc34a1,Slc34a1
IL1RAPL1,IL1RAPL1,Il1rapl1,Il1rapl1
KPTN,KPTN,Kptn,Kptn
MAIP1,MAIP1,Maip1,Maip1
VLDLR,VLDLR,Vldlr,Vldlr
AQP11,AQP11,Aqp11,Aqp11
MCPH1,MCPH1,Mcph1,Mcph1
SCGN,SCGN,Scgn,Scgn
ETFRF1,ETFRF1,Etfrf1,Etfrf1
TMEM63C,TMEM63C,Tmem63c,Tmem63c
OFD1,OFD1,Ofd1,Ofd1
CSTF2,CSTF2,Cstf2,Cstf2
AP5S1,AP5S1,Ap5s1,Ap5s1
CCT6B,CCT6B,Cct6b,Cct6b
HS6ST1,HS6ST1,Hs6st1,Hs6st1
PROSER3,PROSER3,Proser3,Proser3
FA2H,FA2H,Fa2h,Fa2h
LYPD1,LYPD1,Lypd1,Lypd1
RAB15,RAB15,Rab15,Rab15
SIX4,SIX4,Six4,Six4
GATA4,GATA4,Gata4,Gata4
FBP1,FBP1,Fbp1,Fbp1
ASCL1,ASCL1,Ascl1,Ascl1
VPS26B,VPS26B,Vps26b,Vps26b
PNMA1,PNMA1,Pnma1,Pnma1
NBAS,NBAS,Nbas,Nbas
KIF22,KIF22,Kif22,Kif22
FAM196B,FAM196B,Fam196b,Fam196b
JAG1,JAG1,Jag1,Jag1
NDUFB6,NDUFB6,Ndufb6,Ndufb6
SETBP1,SETBP1,Setbp1,Setbp1
HLF,HLF,Hlf,Hlf
C19orf71,C19H19orf71,4930404N11Rik,LOC690617
REXO5,REXO5,Rexo5,Exnef
FECH,FECH,Fech,Fech
GSAP,GSAP,Gsap,Gsap
LRRC3B,LRRC3B,Lrrc3b,Lrrc3b
OAZ1,OAZ1,Oaz1,Oaz1
HYI,HYI,Hyi,Hyi
ZNF507,ZNF507,Zfp507,Zfp507
C5orf34,C5orf34,4833420G17Rik,RGD1306227
OPN1SW,OPN1SW,Opn1sw,Opn1sw
SUMO1,SUMO1,Sumo1,Sumo1
GTF3C1,GTF3C1,Gtf3c1,Gtf3c1
GCDH,GCDH,Gcdh,Gcdh
TMEM50A,TMEM50A,Tmem50a,Tmem50a
CDC25B,CDC25B,Cdc25b,Cdc25b
MTMR2,MTMR2,Mtmr2,Mtmr2
ZBTB7B,ZBTB7B,Zbtb7b,Zbtb7b
CTNS,CTNS,Ctns,Ctns
NCK1,NCK1,Nck1,Nck1
ITM2A,ITM2A,Itm2a,Itm2a
GPR174,GPR174,Gpr174,Gpr174
TMEM97,Tmem97,Tmem97,Tmem97
NDN,NDN,Ndn,Ndn
CCDC88A,CCDC88A,Ccdc88a,Ccdc88a
RORB,RORB,Rorb,Rorb
NUAK2,NUAK2,Nuak2,Nuak2
CLEC5A,CLEC5A,Clec5a,Clec5a
UBE3C,UBE3C,Ube3c,Ube3c
PSMD7,,Psmd7,Psmd7
ECD,ECD,Ecd,Ecd
UROC1,UROC1,Uroc1,Uroc1
MIOS,MIOS,Mios,Mios
LYVE1,LYVE1,Lyve1,Lyve1
HTRA3,HTRA3,Htra3,Htra3
PYGL,PYGL,Pygl,Pygl
DNAJC9,DNAJC9,Dnajc9,Dnajc9
FOXK1,FOXK1,Foxk1,Foxk1
FGF12,FGF12,Fgf12,Fgf12
ABI1,ABI1,Abi1,Abi1
RNU6-219P,U6,Gm26061,U6
SNORD14C,SNORD14,Snord14c,SNORD14
RNU6-526P,U6,Gm26066,U6
RNU6-873P,U6,Gm23676,U6
SNORD15B,SNORD15,Snord15b,SNORD15
Y_RNA,Y_RNA,Gm26124,Y_RNA
KDM2A,KDM2A,Kdm2a,Kdm2a
ATP6V0D1,ATP6V0D1,Atp6v0d1,Atp6v0d1
ASF1B,ASF1B,Asf1b,Asf1b
RFX1,RFX1,Rfx1,Rfx1
TMEM206,TMEM206,Tmem206,Tmem206
WNT9B,WNT9B,Wnt9b,Wnt9b
CYP46A1,CYP46A1,Cyp46a1,Cyp46a1
SH3RF2,SH3RF2,Sh3rf2,Sh3rf2
GRXCR2,GRXCR2,Grxcr2,Grxcr2
HGS,HGS,Hgs,Hgs
PLET1,PLET1,Plet1,Plet1
LAX1,LAX1,Lax1,Lax1
ACTN3,ACTN3,Actn3,Actn3
IGIP,IGIP,Igip,Igip
NPTX1,NPTX1,Nptx1,Nptx1
SRD5A1,SRD5A1,Srd5a1,Srd5a1
EZH2,EZH2,Ezh2,Ezh2
YPEL4,YPEL,Ypel4,Ypel4
CLP1,CLP1,Clp1,Clp1
KANSL1,KANSL1,Kansl1,Kansl1
SERPING1,SERPING1,Serping1,Serping1
NDFIP1,NDFIP1,Ndfip1,Ndfip1
LSM12,LSM12,Lsm12,Lsm12
PEA15,PEA15,Pea15a,Pea15
DLX4,DLX4,Dlx4,Dlx4
PGS1,PGS1,Pgs1,Pgs1
CCDC155,CCDC155,Ccdc155,Ccdc155
CERS6,CERS6,Cers6,Cers6
TMEM173,TMEM173,Tmem173,Tmem173
TMC6,TMC6,Tmc6,
KIFAP3,KIFAP3,Kifap3,Kifap3
VRK3,VRK3,Vrk3,Vrk3
ASCL2,ASCL2,Ascl2,Ascl2
SLC28A3,SLC28A3,Slc28a3,Slc28a3
SEMA4A,SEMA4A,Sema4a,Sema4a
RMI1,RMI1,Rmi1,Rmi1
ATE1,ATE1,Ate1,Ate1
EMSY,EMSY,Emsy,Emsy
URM1,URM1,Urm1,Urm1
YBEY,YBEY,Ybey,Ybey
ARID3B,ARID3B,Arid3b,Arid3b
SLC27A4,SLC27A4,Slc27a4,Slc27a4
CDK10,CDK10,Cdk10,Cdk10
SPATA2L,SPATA2L,Spata2l,Spata2L
SPATA24,SPATA24,Spata24,Spata24
MNT,MNT,Mnt,Mnt
JMJD6,JMJD6,Jmjd6,Jmjd6
MTCH2,MTCH2,Mtch2,Mtch2
LOXL1,LOXL1,Loxl1,Loxl1
WNT11,WNT11,Wnt11,Wnt11
SNX20,SNX20,Snx20,Snx20
SOWAHA,SOWAHA,Sowaha,Sowaha
HNF4A,HNF4A,Hnf4a,Hnf4a
PNMA3,PNMA3,Pnma3,Pnma3
FBXW2,FBXW2,Fbxw2,Fbxw2
RYBP,RYBP,Rybp,Rybp
SLC2A12,SLC2A12,Slc2a12,Slc2a12
SLC30A8,SLC30A8,Slc30a8,Slc30a8
E2F4,E2F4,E2f4,E2f4
TDP1,TDP1,Tdp1,Tdp1
CCDC154,CCDC154,Ccdc154,Ccdc154
FLYWCH1,FLYWCH1,Flywch1,Flywch1
PIGW,PIGW,Pigw,Pigw
FITM2,FITM2,Fitm2,Fitm2
ZBTB34,ZBTB34,Zbtb34,Zbtb34
CPNE7,CPNE7,Cpne7,Cpne7
ZBTB43,ZBTB43,Zbtb43,Zbtb43
GDAP1L1,GDAP1L1,Gdap1l1,Gdap1l1
OSER1,OSER1,Oser1,Oser1
PANX1,PANX1,Panx1,Panx1
C9orf64,C9orf64,2210016F16Rik,RGD1311345
ARFGAP2,ARFGAP2,Arfgap2,Arfgap2
SELL,SELL,Sell,Sell
MAP6,MAP6,Map6,Map6
GALK1,GALK1,Galk1,Galk1
RTTN,RTTN,Rttn,Rttn
C8A,C8A,C8a,C8a
GKAP1,GKAP1,Gkap1,Gkap1
PPP2R5C,,Ppp2r5c,Ppp2r5c
FCRL5,FCRL5,Fcrl5,Fcrl3
RIMBP2,RIMBP2,Rimbp2,Rimbp2
IDO1,IDO1,Ido1,Ido1
UBQLNL,UBQLNL,Ubqlnl,Ubqlnl
CASKIN2,CASKIN2,Caskin2,Caskin2
BUD13,BUD13,Bud13,Bud13
MKL1,MKL1,Mkl1,Mkl1
HIPK1,HIPK1,Hipk1,Hipk1
DNAJC21,DNAJC21,Dnajc21,Dnajc21
SSBP3,SSBP3,Ssbp3,Ssbp3
ZZEF1,ZZEF1,Zzef1,Zzef1
LONP1,LONP1,Lonp1,Lonp1
C10orf128,C10orf128,1810011H11Rik,RGD1561145
SMIM12,SMIM12,Smim12,Smim12
POC1B,POC1B,Poc1b,Poc1b
ZNF428,ZNF428,Zfp428,Zfp428
TNNT1,TNNT1,Tnnt1,Tnnt1
CIB2,CIB2,Cib2,Cib2
Sep-02,Sep-02,Sep-02,Sep-02
ITGAX,ITGAX,Itgax,Itgax
IRF6,IRF6,Irf6,Irf6
BEGAIN,BEGAIN,Begain,Begain
POLR2K,,Polr2k,Polr2k
WDR38,WDR38,Wdr38,Wdr38
FMN1,FMN1,Fmn1,Fmn1
FAM110B,FAM110B,Fam110b,Fam110b
DPCD,DPCD,Gm17018,Dpcd
TPD52L2,TPD52L2,Tpd52l2,Tpd52l2
MYO9B,MYO9B,Myo9b,Myo9b
DBX1,DBX1,Dbx1,Dbx1
PACS2,PACS2,Pacs2,Pacs2
NSUN7,NSUN7,Nsun7,Nsun7
YOD1,YOD1,Yod1,Yod1
MIB1,MIB1,Mib1,Mib1
FBXO47,FBXO47,Fbxo47,Fbxo47
ABHD4,ABHD4,Abhd4,Abhd4
TNNT3,,Tnnt3,Tnnt3
CHORDC1,CHORDC1,Chordc1,Chordc1
CCDC17,CCDC17,Ccdc17,Ccdc17
CDC25C,CDC25C,Cdc25c,Cdc25c
VASP,VASP,Vasp,Vasp
CWF19L2,CWF19L2,Cwf19l2,Cwf19l2
LAMB3,LAMB3,Lamb3,Lamb3
PCNX2,PCNX2,Pcnx2,Pcnx2
SMC2,SMC2,Smc2,Smc2
CBFA2T3,CBFA2T3,Cbfa2t3,Cbfa2t3
DND1,DND1,Dnd1,Dnd1
S1PR2,S1PR2,S1pr2,S1pr2
TAF5,TAF5,Taf5,Taf5
EXO1,EXO1,Exo1,Exo1
IGFN1,IGFN1,Igfn1,Igfn1
FCAMR,FCAMR,Fcamr,Fcamr
NEU3,NEU3,Neu3,Neu3
ATP7B,ATP7B,Atp7b,Atp7b
SEC23IP,SEC23IP,Sec23ip,Sec23ip
CWC25,CWC25,Cwc25,Cwc25
TRPC1,TRPC1,Trpc1,LOC100909709
LTBP2,LTBP2,Ltbp2,Ltbp2
PLA2G4A,PLA2G4A,Pla2g4a,Pla2g4a
TMEM202,TMEM202,Tmem202,Tmem202
ZFP69,ZFP69,Zfp69,Zfp69
HEATR9,HEATR9,Heatr9,Heatr9
PLIN5,PLIN5,Plin5,Plin5
VWA2,VWA2,Vwa2,Vwa2
SLC27A2,SLC27A2,Slc27a2,Slc27a2
KCNQ5,KCNQ5,Kcnq5,Kcnq5
EYA1,EYA1,Eya1,Eya1
SLC12A7,SLC12A7,Slc12a7,Slc12a7
RND1,RND1,Rnd1,Rnd1
SNUPN,SNUPN,Snupn,Snupn
PEAK1,PEAK1,Peak1,Peak1
HSPG2,HSPG2,Hspg2,AABR07073181.1
SPAG7,SPAG7,Spag7,Spag7
RAI14,RAI14,Rai14,Rai14
DNM1L,DNM1L,Dnm1l,Dnm1l
FBN2,FBN2,Fbn2,Fbn2
TELO2,TELO2,Telo2,Telo2
ELOVL5,ELOVL5,Elovl5,Elovl5
MAGEE1,MAGEE1,Magee1,Magee1
LEO1,LEO1,Leo1,Leo1
CLSTN1,CLSTN1,Clstn1,Clstn1
SPACA9,SPACA9,Spaca9,Spaca9
EHD1,EHD1,Ehd1,Ehd1
MAML1,MAML1,Maml1,Maml1
TM7SF3,TM7SF3,Tm7sf3,Tm7sf3
RGS3,RGS3,Rgs3,Rgs3
PRIM1,PRIM1,Prim1,Prim1
MZT1,MZT1,Mzt1,Mzt1
IL18R1,IL18R1,Il18r1,Il18r1
DDX59,DDX59,Ddx59,Ddx59
SOCS7,SOCS7,Socs7,Socs7
GMPPA,GMPPA,Gmppa,Gmppa
BSPH1,BSPH1,Bsph1,Bsph1
PACS1,PACS1,Pacs1,Pacs1
COASY,COASY,Coasy,Coasy
NUP93,NUP93,Nup93,Nup93
IL1RL2,IL1RL2,Il1rl2,Il1rl2
MRPL45,,Mrpl45,Mrpl45
HAX1,HAX1,Hax1,Hax1
ARFRP1,ARFRP1,Arfrp1,Arfrp1
KMT2A,KMT2A,Kmt2a,Kmt2a
HDHD3,HDHD3,Hdhd3,Hdhd3
GLTP,,Gltp,Gltp
HACD1,HACD1,Hacd1,Hacd1
